iter	Accuracy	MultiClass
232	0.6280433295	0.8766148998
233	0.6281332248	0.8765357176
234	0.6281881608	0.8764835622
235	0.6281831666	0.8764227011
236	0.6281332248	0.8763877122
237	0.6281981492	0.8763360513
238	0.6282630735	0.8763017545
239	0.6282830502	0.8762728099
240	0.6283529688	0.8762331029
241	0.6284079048	0.8761613068
242	0.6283929222	0.876101349
243	0.6284528524	0.8760735691
244	0.6284728292	0.8760163396
245	0.628522771	0.8759397326
246	0.6284628408	0.8758624869
247	0.6284928059	0.8758041462
248	0.628467835	0.875761539
249	0.6284928059	0.8757378688
250	0.6285827012	0.8756924558
251	0.6285727128	0.8756528036
252	0.6286226546	0.8755963527
253	0.6286725964	0.8755436666
254	0.6287175441	0.8755128519
255	0.6287674859	0.8754795802
256	0.6287624917	0.8754400217
257	0.6287574975	0.8753981158
258	0.628742515	0.8753294121
259	0.6287674859	0.8752908529
260	0.6288174277	0.8752594203
261	0.6288274161	0.875209656
262	0.6288973346	0.8751607281
263	0.6288673695	0.8751038879
264	0.6289772415	0.8750599487
265	0.6289972182	0.8749947272
266	0.6289772415	0.8749513217
267	0.629072131	0.8748940932
268	0.629072131	0.8748421329
269	0.6290821193	0.8747798781
270	0.629127067	0.8747416637
271	0.6291370553	0.8747172777
272	0.6291620262	0.8746722118
273	0.6291770088	0.8746464149
274	0.6291919913	0.8745778171
275	0.6292219564	0.8745430421
276	0.6292419331	0.8744887348
277	0.6293617935	0.8744376285
278	0.6294267179	0.8744067673
279	0.6294716655	0.874363953
280	0.6294466946	0.8742959173
281	0.6295066248	0.8742273995
282	0.6296115026	0.8741671996
283	0.6295565666	0.8741322569
284	0.6295815375	0.8741001928
285	0.6295565666	0.8740477469
286	0.6295965201	0.8739991225
287	0.6295915259	0.8739633919
288	0.6296015142	0.8739219085
289	0.6296164968	0.8738742108
290	0.6296264851	0.8738226626
291	0.6296464619	0.8737702935
292	0.6296864153	0.8737379587
293	0.6297013979	0.8736990137
294	0.6298362408	0.8736481125
295	0.6297463455	0.8736039845
296	0.6297713164	0.8735664568
297	0.6296914095	0.8735044391
298	0.629731363	0.8734619187
299	0.6298312466	0.8734196913
300	0.6297813048	0.8733716953
301	0.6298462291	0.8733310819
