iter	Passed	Remaining
399	54718	13679
400	54847	13540
401	54982	13403
402	55142	13272
403	55294	13139
404	55426	13001
405	55575	12867
406	55702	12728
407	55829	12589
408	55974	12453
409	56101	12315
410	56232	12176
411	56390	12044
412	56597	11922
413	56738	11786
414	56867	11647
415	57012	11512
416	57156	11376
417	57318	11244
418	57469	11109
419	57634	10977
420	57793	10844
421	57928	10707
422	58064	10569
423	58196	10431
424	58326	10292
425	58490	10160
426	58669	10030
427	58789	9889
428	58909	9749
429	59042	9611
430	59175	9473
431	59297	9333
432	59445	9198
433	59565	9058
434	59723	8924
435	59841	8784
436	59972	8645
437	60123	8510
438	60254	8372
439	60391	8235
440	60515	8096
441	60661	7960
442	60837	7827
443	60969	7689
444	61113	7553
445	61231	7413
446	61356	7274
447	61489	7137
448	61625	6999
449	61793	6865
450	61949	6730
451	62070	6591
452	62196	6453
453	62316	6313
454	62463	6177
455	62594	6039
456	62718	5901
457	62872	5765
458	62997	5627
459	63131	5489
460	63270	5352
461	63409	5215
462	63549	5078
463	63692	4941
464	63824	4803
465	64006	4670
466	64131	4531
467	64268	4394
468	64412	4257
469	64555	4120
470	64688	3982
471	64819	3845
472	64977	3709
473	65107	3571
474	65251	3434
475	65388	3296
476	65516	3159
477	65658	3021
478	65820	2885
479	65988	2749
480	66139	2612
481	66294	2475
482	66453	2338
483	66616	2202
484	66747	2064
485	66892	1926
486	67043	1789
487	67187	1652
488	67313	1514
489	67439	1376
490	67567	1238
491	67698	1100
492	67816	962
493	67939	825
494	68077	687
495	68222	550
496	68365	412
497	68490	275
498	68643	137
499	68778	0
